我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
吓了一跳的人是我。我以为搞丢了，慌慌张张地来找，结果被『平凡的同学』捡到啦。	……这是怎么回事？
什么怎么回事？就是我的《共病文库》啊！你不是看了吗？这是我自从发现胰脏生病了以后写类似日记的东西。	……开玩笑的吧？
你以为我的兴趣有多低级啊。这连黑色笑话都算不上喔？上面写的都是真的，我的胰脏不能用了，要不了多久就要死啦！嗯。	……喔，原来如此。
……没有啊，同班同学跟你说自己马上要死了，该怎么回答才好？	唔——，要是我应该说不出话来吧！
是啊。光是我没有说不出话来，你就应该称赞我了。	说得也是。
早安，我还在想要是被放鸽子怎么办呢——	要是我说没有这可能的话，就是说谎了。
结果OK呢。	这样说好像也不太对啦。所以今天要做什么？
总之，去市中心吧。	我不喜欢人挤人。
『知道秘密的同学』有车钱吗？要不要我帮你出？	我有钱。
先去吃烤肉。	烤肉？还不到中午耶？
肉的味道白天跟晚上会不一样吗？	很可惜，我对肉的爱好，没有强到能分辨因时间不同而有所差异的地步。
那就没问题了。我想吃烤肉。	我十点才吃过早餐的。
没问题，没人讨厌烤肉。	你有跟我对话的意思吗？
要最贵的这种。	等一下，我没那么多钱。
哇——，好期待喔！	……那个，钱我下次给你。
这样更不行。你得花在比较有意义的事情上。	这很有意义啊！一个人吃烤肉一点也不好玩吧？我花钱是为了自己的乐趣。
但是——	久等了。先上饮料。
我开动了——，唔！	我开动了。嗯，真好吃。
好好吃喔！原来有钱就能吃这种好东西呀——	有钱人就不会来吃到饱了。大概吧！
叫什么都可以吗？	随你高兴。
皱胃、可苦可乐*1、铁炮*2、蜂巢胃、瘤胃、牛心、领带*3、牛杂、牛肺、牛百叶、胸腺。	等一下等一下等一下，你叫的是什么啊？
可苦可乐？啥，CD吗？	你在说什么？啊，总之，刚才点的都一人份。
你刚是不是说了蜂巢？要吃虫子吗？	啊——，难道你不知道？可苦可乐和蜂巢都是牛的部位名称喔。我喜欢杂碎类的——
是指内脏？牛身上有这么有趣的部位名称吗？	人不也有吗？笑骨*4之类的。
我不知道那在哪里。	对了，胸腺也包括胰脏喔。
难道吃牛的内脏也是治疗的一部份？	我只是喜欢内脏而已。要是有人间我喜欢什么，我都回答内脏。喜欢的东西，内脏！
你都自傲地这么说了，我还能回什么？	忘了叫白饭，要吗？
你说什么？	就说啦，我不想火葬。我不想死掉以后被火烧。
这是适合一面吃烤肉一面闲聊的话题吗？	烧掉了就好像真的从这个世界上消失了，不是嘛？不能让大家把我吃掉吗？
不要一面吃肉一面说尸体善后的话题好吗？	胰脏可以给你吃喔！
你有在听我说话吗？	外国好像有人相信把人吃掉以后，死人的灵魂会继续活在吃的那个人里面喔！
不能吗？	……应该是不能吧——，这违反伦理道德。至于是不是违法得查一下才知道。
这样啊——，真可惜。我没法把胰脏给你啦。	我用不著。
不想吃吗？	你不是因为胰脏生病才要死的吗？你灵魂的碎片一定会留在那里。你的灵魂好像很会闹的样子。
你没有饮食限制吗？	基本上没有吔。但这好像是最近十年医学进步的结果。人类真是太厉害了。虽然生了病，但日常生活完全没有受到影响。但我觉得这种进化应该朝治疗的方向运用啦。
接下来要干嘛？	你是说未来吗？我没那种东西喔！
没有啦，除了你之外，我也不会跟别人这样说的。通常大家都会退避三舍吧？但是你真厉害，可以跟马上就要死掉的同学正常地说话，要是我恐怕就没办法。就是因为你很厉害，所以我才把想说的话都说出来。	你太看得起我了。
我觉得不是吔。『知道秘密的同学』在我面前都没有悲伤的表情。难道你会在家里为我哭泣？	并没有。
回到刚才的问题，接下来要干嘛？	啊，改变话题了——，这下要哭了吧？接下来我要去买绳子。
没哭好吗。什么绳子？	喔，你也会用这种有男子气概的口吻说话啊，是想要追求我吗？嗯，绳子，自杀用的。
谁会要追求马上就要死掉的人啊。你要自杀？	我只是觉得自杀也不错，在被疾病杀掉之前自己先动手。但是，我现在应该不会自杀。绳子是买来恶作剧用的啦。是说『知道秘密的同学』太过份了！我搞不好会伤心而自杀哟。
恶作剧？一下子要自杀一下子不会自杀，乱七八糟的。总之，把话说清楚。	说得也是。你有女朋友吗？
真是的，本来要让店员介绍不同商品的，你不要来捣乱啊。难道你嫉妒我跟店员感情好？	那叫做感情好的话，就不会有人想把柳橙做成天妇罗了。
什么意思？	这话完全没有意义，所以就不要追问了好吗？
『知道秘密的同学』，接下来要干嘛？	我只是跟著你而已，并没什么特别的目的。
咦，这样啊？你没有想去的地方吗？	一定要说的话，就书店吧。
要买书？	不是，我喜欢逛书店，未必一定要买书。
哎，怎么好像是瑞典的谚语啊。	什么意思？
对不起，把你给忘了。	好差劲！但是没关系，我也一直在看书。『知道秘密的同学』对时装之类的有兴趣吗？
没有。只要是不引人注目的普通衣服就好。	我想也是。但我可有兴趣了。上了大学后，我要打扮得漂漂亮亮的。话虽这么说，但我马上就要死啦！人还是内在比外在重要。
啊，谢谢。多少钱？	没关系，烤肉我也没出钱。
嘻嘻，别人看我们像是一对吗？	就算看起来像，但事实上不是，所以无所谓。
哇，好冷淡啊！	只要想那么看，所有性别不同的两人组都能看成一对。光看外表你也完全不像马上要死了的样子。重要的不是别人的评价，而是内在。你刚不也说了嘛。
所以，『知道秘密的同学』有女朋友吗？	好了，休息够了吧。
怎样？女朋友？	谁晓得。
这么说来，我觉得我好像对你一无所知吔。	或许吧。我不喜欢讲自己的事。
为什么？	我不喜欢自我意识过剩，啰哩吧嗦地讲些别人毫无兴趣的事。
你怎么知道别人毫无兴趣？	因为我对别人毫无兴趣。以前的人基本上都对自己以外的事物毫无兴趣，当然也有例外啦。像你这样有特殊情况的人，我多少还是有点兴趣的。但我本身并不是会让别人产生兴趣的人，所以没兴趣说对谁都没用处的事情。
怎么了？	我说我对你有兴趣。我才不会约自己没兴趣的人出来玩呢。你不要把我当傻子。
我有时候会觉得你可能在犯傻，但却没有把你当傻子喔。	你可能不是故意的，但是我不高兴了！
要是你好好回答我，就原谅你。	……一点也不有趣喔。
我不觉得我能回应你的期待。	没关系没关系，快回答吧？
大概是从小学的时候开始吧，我就不记得我有朋友。	……你失忆了？
我的意思是我没有朋友。所以当然也没有你说的女朋友。	一、直、都没有朋友？不只是现在？
嗯，我对别人没有兴趣，所以别人也对我没有兴趣吧。反正对任何人都没坏处，我觉得这样就好。	你不想要朋友吗？
难说。有朋友的话可能不错，但我相信小说里的世界比现实世界有趣多了。	所以你成天都在看书。
是啊。我无聊的故事就到此为止了。礼貌起见我也得问问，你有男朋友吗？要是有的话，就别跟我混了，现在立刻跟他在一起比较好。	有是有，不过，不久之前分手了。
因为你马上要死了？	不是啦。我怎么会跟男朋友说这种事啊！连跟朋友都没说了。
他啊——，喔，你也认识的，就在我们班。我说出他的名字你可能也不记得吧，哈哈哈。他当朋友非常棒，但当恋人就不行了。	原来会这样啊。
会喔，所以我们就分手了。要是上帝一开始能贴上标签就好啦。这个人专门当朋友，这个人可以当恋人。	要是能这样的话我就轻松了。但人与人之间的关系是很复杂的，你这种人好像会说不贴标签比较有趣。
的确好像会这么说。嗯，我可能真是这么想的。那我收回刚才的标签，你还真瞭解我。	…………
……一定是因为我们相反。	相反？
我们是相反的两种人。我完全想不到的事，你八成一定会想到。照这样说出来，就说中了。	真够复杂的。这是小说的影响？
啊，好像真的相反耶——，你在烤肉的时候一直吃五花肉跟里脊肉，烤肉就是要吃内脏啊！	虽然比我想像中好吃，但还是普通的肉比较好。喜欢吃生物内脏的，是恶魔吧！在咖啡里加糖加牛奶也是恶魔干的事。咖啡本身就已经没有缺慽了。
我跟你在吃东西的方面，好像很不合呢！	但我觉得不只是吃东西的方面就是了。
对了，那条绳子要用来干嘛？你不会自杀不是嘛？虽然你说了要恶作剧什么的。	我要恶作剧喔！虽然这么说，但是我看不到结果啦。所以『知道秘密的同学』要帮我确认。我在《共病文库》里暗示了一下绳子，这样一来，找到绳子的人，就会误以为我要自杀对不对？这就是恶作剧。
品味真差。	没关系没关系，我会写清楚其实是假的啦。先吓人一跳，再让人松一口气比较好。
没有啊。昨天刚好碰到而已。	喔——
我没听说啊。	刚才我碰到老师他说的。你有事吗？
没有。	那就去吧。反正你也没要念书不是嘛？
你小心跟放羊的孩子一样得到报应。	所以我的胰脏坏掉了啊，老天的眼睛是雪亮的呢！你可不能说谎喔。
没人规定胰脏坏掉了就可以随便说谎吧！	哎，是吗？我不知道。对了，『交情好的同学』，你吃了中饭吗？
那要怎样？	去超市买点熟食回家吃。
没东西吃的话就一起去吃吧。我爸妈今天都不在家，只给了我钱。	…………
怎样？我有死前想去的地方喔——	……要是又被同学看见就讨厌了。
『交情好的同学』，你说你并没跟我要好，对不对？周末的时候分明很要好的说。	嗯，我是说了。
昨天我简讯也写了，到死都要好好相处。	是不是真的无所谓吧。只是被同学们观察也就罢了，我不喜欢他们来跟我说话，或是追问我。
不用蒙混也没关系啊！昨天不是说过，重要的是内在吗？	重要的既然是内在，蒙混过去也无所谓。
这不是在兜圈子嘛——	会这么说也是考虑到要替你保守生病的秘密，跟你说的那种毫无意义的谎言不一样。你应该称赞我，而不是生气吧！
我的方向果然跟你不合。	或许吧。
不只是食物方面，这个问题好像更加根深蒂固。	简直像是政治议题。
所以吃饭要怎么办？	……是可以一起吃，没问题吗？你不跟其他朋友一起玩吗？
我怎么会跟人家约了再来找你呢？明天我跟朋友约好了出去玩。但是，只有跟你在一起不必隐藏胰脏的事，所以很轻松。	喘息的空间吗？
对，喘口气。	那我就奉陪吧，算是做好事。
喂！	怎么啦？
不要一直笑眯眯的。你是想变胖，还是想让我变胖？连著两天吃到饱是怎样！	都不是。我只是吃我想吃的东西而已。
不愧是真理。原来如此，今天你想吃甜食吃到死？	对。你吃甜食没问题吧？
我不喜欢鲜奶油。	有这种人啊？那就吃巧克力蛋糕吧。很好吃喔！这里不只有甜点，还有义大利面跟咖哩，比萨什么的。
这真是天大的好消息。披萨好好发音不行吗？真讨厌。	讨厌起士吗？
真好，今天完全没人提起这件事，我还以为是我作梦呢。	大家都没兴趣吧？郡里好像是没什么人的乡下。
我有兴趣喔。我看了新闻心想：啊，这个人也没想到会比我先死吧！但是——	我还是先问一下以防万一。你见过那个人吗？
你觉得我见过？	你觉得我这么觉得吗？不管了，所以呢？
恩，我有兴趣。但是，平常人对生啊死啊之类的都没有兴趣吧？	原来如此。
面对死亡的好处只有一个，那就是每天都真实地感觉自己活著。	这比任何伟人的箴言都感人。
突然说这个干什么？	你在全是女生的店里好像坐立不安，可爱的女生从旁边走过，连看也不看一眼，我都立刻就看呢。你是同志吗？
我不喜欢待在不适合我的地方。而且盯著别人很没礼貌，我不做这种事。	那我就是没礼貌的人了。
真是的，失礼啦！『交情好的同学』昨天说没有朋友也没有女朋友，那我想你起码有过喜欢的人吧。	我并没有讨厌的人，所以人人都喜欢。
再怎么样，总单相思过吧？	……单相思。
就是不是两情相悦。	这我知道。
嗯，我觉得好像有过一次的样子。	就是这个，怎样的女生？
你知道要干嘛？	因为我想知道啊。昨天你说你跟我相反，所以我也好奇你喜欢什么样的人。
怎样的人啊——，对了，总是加上『先生』的人。	……先生？
怎么了？	讨厌啦。」她扭著身子说。「讨厌，比我想像中还要出色，害我都'不好意思了。
……啊，嗯，她可能是个出色的女生没错。	不是，我指的是喜欢她的理由。
这段恋爱结果如何？但是你说过了没有女朋友。	对。大家好像也觉得那个女生长得很可爱，她被班上个性爽朗又很帅的男生追走了。
哎，真是没看人的眼光。	什么意思？
没什么。原来你也曾经是抱著淡淡恋情的纯真少年啊——	嗯，为了公平起见我也问一下，你呢？
喂，不要吓到好嘛。	我没吓到啊。不过，鼻子有点讨厌吧？鲜奶油。
哎，怎么，小樱跟『阴沈的同学』交情好吗？	嗯，莉香不是问过了吗？问我们要不要好。
但是莉香说樱良是开玩笑的耶？	真是的——，那是因为『交情好的同学』不想引起骚动，所以蒙混过去的啦！莉香竟然比较相信他而不相信我，我们的友情到底算什么啊？
恭子不用回去吗？你的朋友不是在等你？	啊，嗯，我要回去了。那个，小樱，我不是有意见啦，只是问一问而已。
连续两天，而且是两个人一起在这种只有女生和情侣的店里，交情好是那个意思吗？	不是啦！
那算什么？朋友吗？	所以说交情好啊。
我跟恭子从国中就认识了。她个性很倔强，起先我觉得她有点可怕，但说上话之后立刻就要好了起来。她是个好人，『交情好的同学』也跟她好好相处吧。	……你生病的事不跟闺蜜说，可以吗？
你啊……	嗯？什么？
要死了喔！	……这样啊！
昨天我也说了，你太瞧得起我了。	不管这个，我们果然看起来像一对吧？
……你这么说有什么用意？	没什么——
不要摆出这种复杂的表情，反正你也会死。我们在天国见吧！	……说得也是。
所以跟我一样多多积德喔！	也是。你死了的话，我就信佛吧！
就算我死了，你也不许对别的女生出手喔！	不好意思，我跟你只是玩玩而已。
天气热也很好啊！这可能是最后的夏天了，非得好好享受不可。接下来要做什么呢？说道夏天，你第一个想到什么？	西瓜冰棒吧。
不是西瓜？」然后，「还有呢？	剉冰。
都是冰啊！	那说到夏天，你会想到什么？
我还是会联想到海边、烟火以及祭典吧。还有，就是一个夏天的Adventure！	你要去挖黄金吗？
黄金？为什么？	Adventure不就是冒险吗？
不是那种冒险啦！夏天、冒险，知道是什么意思吧？	起个大早去抓独角仙吗？
我明白了。『交情好的同学』是笨蛋。	一到某个季节，脑子就被恋爱支配才是笨蛋呢。
已经这么热了，不要故意为难我。	你不是说天气热也很好嘛？
既然活著就该谈恋爱。	一辈子有过三个恋人很够了吧？
怎么说呢，人心不是能用数字表达的。	乍听之下好像很深奥，仔细想想这话根本没有道理。简而言之，就是你还想交男朋友吧！
怎么啦？	要是我说我想交男朋友，你肯帮忙吗？
帮忙是帮什么忙？	……唔，没什么。
难道是要我介绍朋友给你的笑话吗？	不是。
那到底是怎样？	没关系啦。反正不是小说，你要是以为我说的每一句话都有意义就大错特错啦。没什么意思的。『交情好的同学』该多跟别人往来。
没有。绝对不是。	这样啊？但是你们去约会了，不是嘛？
只是碰巧一起吃饭而已。	原来如此。
你干嘛问？	嗯？啊，难道你以为我喜欢山内？不、是、啦！我喜欢文静的女生啦。
大家搞错了，我不在乎。	真是成熟——，要吃口香糖吗？
不要。拿一下畚箕好吗？	我去拿。
你也太轻便了吧！只带这些？换洗衣物呢？	……换洗衣物？
嗯——，算了，到那边买就好。应该有UNIQLO吧。	……那边？UNIQLO?
早餐吃了吗？	吃了面包。
咦，要买火车便当？	嗯，在新干线上吃。你要不要？
该有这种表情的人是我吧！	怎么啦？
新干线？火车便当？你给我说清楚，今天打算做什么？	就说了搭车去远行啊。
这里不能一日往返，还是重新考虑吧。	……不是不是，『交情好的同学』，不是这样啦。
太好了，果然是开玩笑。	不是，不是一日往返啦。
我是第一次去——，『交情好的同学』去过吗？	没有。
不用担心，我为了今天买了旅游杂志。	喔，这样啊。
要吃吗？	……谢谢。
无精打采呢！难道你不想搭我的顺风车？	没有啊，搭了呢。你的顺风车，还有新干线，我正在反省呢。
怎么这么郁闷，旅行要开开心心的啊！	与其说是旅行，不如说是绑架吧。
与其省视自己，不如看我吧。	所以你说这种话，到底是什么意思啊！
有名字跟你很像的小说家，对吧？	对，虽然我不知道你想到的是谁。
难道是因为这样才喜欢小说？	虽不中亦不远吧。一开始阅读确实是因为这样，但喜欢看小说是因为觉得有趣。
唔——，你最喜欢的小说家跟你同名？	不是。我最喜欢的是太宰治。
太宰治，写《人间失格》的那个？	对。
你喜欢那种阴沈的作品啊。	小说的气氛确实有点钻牛角尖，可以感觉到大宰治的精神透过文字传达出来，但不能以阴沈两字下断语就是了。
嗯——，反正我没有要看。	你好像对文学没什么兴趣。
你爸妈竟然答应让你出来旅行，你用了什么手段？	我说要跟恭子出去旅行。只要说我在死前想做什么，我爸妈通常都会含著眼泪答应。但是跟男生出去旅行是有点那个啦——，不知道他们会有什么反应，所以——
你真是太过份了，这样利用你爸妈的感情。	那你呢？你怎么跟令尊令堂说？
我不想让我爸妈担心，骗他们说我有朋友，要住在朋友家。	好过份，好可怜喔！
第一次登陆！哇，有拉面的味道！	是你多心了吧？
绝对有！你鼻子坏掉了吧？	幸好不像你脑子坏掉了。
坏掉的是胰脏啦！	这招必杀技过于卑鄙，从现在开始禁止使用。太不公平了。
好啦，要去哪里？	嘻嘻嘻嘻嘻嘻嘻嘻，哎？
我想还是吃拉面好了。如何？	我不反对。
这个县好像治安不太好，最好小心一点，听说有不少枪擎事件。	是吗？但哪个县都一样啊。我们邻县不久之前不是才发生过杀人案。
新闻已经没在报了。	警方在电视上说随机杀人魔好像最难抓到。俗话说，好人不长命，祸害遗千年啊——
不是这种层面的问题吧。	所以你会活下来，我却要死啦。
好青春喔！	天空是很蓝，但不是春天……好热。
你有参加运动社团吗？	没有。出身高贵的人不用运动的。
不要小看高贵的人。要运动啊！你跟我这病人一样满头大汗不是？	这多半跟运动不足没啥开系。
我希望能在死前都精神饱满。『交情好的同学』呢？	你总是践踏我的感情呢。
咦，难道你许愿我越来越衰弱？太过份了！我看错你了！	我干嘛希望别人不幸啊。
求到好签的就赢了。	你把求签当成什么啦？
啊哈哈哈哈哈哈哈哈！快看快看！『疾病终会痊愈』吔！根本治不好的说！	……你高兴就好。
你呢？	吉。
小吉的下面吗？	也是大吉的下面啊。
不管怎样都是我赢啦！嘿嘿。	你高兴就好。
上面写著良缘将至。真好啊！	要是真的觉得好，干嘛用这种口气说话。
姐姐，那是你男朋友吗？」小女孩问	不是喔！是好朋友喔——」她说。小女孩完全混乱了
那个点心叫做梅枝饼啊！	是名产喔！杂志上有写。
好好吃喔！跟著我来没错吧。	还可以啦。
真是不坦率。这样的话，我不在了，你就又一个人啰？	………………
接下来要做什么？	喔，你兴致很好啊。
跟男生一起旅行啊，在发源地吃豚骨拉面，这次旅行这些都一并实现了。总之，今天我最终的目的是晚上吃牛杂锅。要是能实现的话，就可以高呼万岁了。『交情好的同学』还有想去的地方吗？	没有，我对观光地点基本上没有执著，我反正也不知道哪里有什么。昨天简讯也说了，去你想去的地方就好。
那个欧巴桑突然把脚伸出来，阿婆才绊到的。真是太过份了！	是吧。
比你早死的好人多得很。	真的呢！
总之，去市中心吧，反正得去找UNIQLO。	说得也是，没想到会流这么多汗。真是不好意思，在你死前我一定会还的，可以借我钱吗？
哎，不要。	……你真是恶魔，到地狱去跟鬼套交情吧！
哇哈哈哈，骗你的啦，开玩笑开玩笑。不用还没关系。	不行，你付的钱我全部要还。
活著真好啊——	真是至理名言。
这样我们就是一起吃火锅的伙伴啦。	难道你的意思是吃同一锅饭那种感觉？
恭子也很喜欢我的前男友。表面上是个爽朗青年啦。	跟我应该完全扯不上关系。
是啊。恭子对你也敬而远之。	你不觉得说这种话会伤害到我吗？
你受伤了吗？	没有。我也对她敬而远之，所以扯平了。
我会考虑。	拜托啦。
哇——，好舒服——	晚上还很凉快。
那个，他们出了一点差错。	嗯。
原来预定的房间客满了。	这样啊。
对。因为责任在他们，所以换了比原先预定更好的房间。	那很好啊。
我们住一间，可以吧？	……啥？
我睡这里。	哎——，难得有这么好的房间，当然要睡在床土好好享受啊——
那我待会儿在上面躺看看就好了。	你不高兴能跟女生一起睡吗？
要是能从事方言的研究工作，应该满有趣的。	真是稀奇，我跟你意见一致。我也开始觉得上了大学念这方面很不错。
真好，我也想上大学。	……你要我说什么才好。
没有关于方言的豆知识吗？	好吧。对我们来说，关西方言听起来都一样，但其实有不同的种类。你觉得有几种？
一万种！	……怎么可能有那么多，这样随便乱猜是会被讨厌的喔！虽然说法不一，但据说实际上有将近三十种。
啊，也不过如此。	……你到现在为止，到底伤害了多少人啊？
你果然想睡在床上。	……我说了啊，躺一下试试看而已。已经够了。
『交情好的同学』也去洗澡吧。按摩浴缸好舒服——	好啊。不要偷看喔。我洗澡的时候会把人皮脱掉。
晒黑的那层？	嗯，就是这样。
这是啥？	梅酒加汽水。这样的比例应该可以吧？
我在火锅店就这么觉得了，分明是高中生还这样！	这不是耍帅喔，我喜欢酒。你不喝吗？
洋芋片你喜欢什么口味？我喜欢高汤味。	除了薄盐之外都不上道。
玩点游戏吧。	游戏？难道要下将棋？
将棋我只知道规则而已，你好像很会下。	找很喜欢诘将棋*5，因为一个人就可以下。
两个人打扑克牌才冷清呢。像是要玩什么呢？	大富豪*6？
这名字也太有哲学意味了。	你不知道吗？那就一面玩一面说明规则吧。第一、也是最重要的规则，绝对不可以中途弃权。知道了吗？
也就是说，下将棋的时候，不能把棋盘掀翻的意思吧？好啊，我不会做出这种扫兴的事。	你说的喔？
顺便一提，只不过因为刚好有扑克牌所以就拿出来用了，其实猜拳也可以的。	……把我的气势还来。
已经吃掉啦。现在从这些牌里选一张，然后对方也选一张。数字大的就赢了，赢的人就获得权利。	什么权利？
要是数字一样花色不同呢？	麻烦死了，那样就重来吧。刚才我也说过了，这些规则都是随便编的，跟游戏本身没有什么关系啦。
好棒，那我有权利了。现在我问『真心话还是大冒险？』你要先说『真心话』。好，真心话还是大冒险？	真心话……？
那首先，你觉得我们班上哪个女生最可爱？	……你突然问这什么啊！
这是『真心话大冒险』的游戏喔！要是你不想回答的话，就要选『大冒险』。选大冒险的话，我就会指定一个题目让你冒险。真心话或大冒险一定要选一个。	真是恶魔的游戏。
真的有这种游戏吗?不是你刚刚想出来的吧？我说了不会弃权，但要是这样的话，我就要说游戏无效了。	很可惜，你以为我的手段有这么差劲？
有。	嘿嘿，这个游戏很多电影里都有，是很正统的游戏。之前我在电影里看到后查过，是真的。你还特别说了两次不会弃权，真是太感动啦！
违反善良风俗的真心话跟大冒险都不行。啊，你也不能问有色话题。要适可而止喔，真是的！	烦死了，笨蛋。
总之，先回答我的问题，你觉得我们班上最可爱的女生是谁？	我不用外表判断别人。
这跟人格无关。只是问你觉得谁长得可爱？	……………………
我觉得有个女生很漂亮。数学很好的那个。	喔——！阳菜啊！她有八分之一的德国血统。哎，原来你喜欢那种感觉啊。阳菜虽然很漂亮，但是不怎么受男生欢迎。我要是男生的话也会选阳菜，你真有眼光！
好棒，果然老天是站在心地善良的孩子这边的。	这让我一下子变成无神论者了。
真心话还是大冒险？	……真心话。
班上阳菜是第一的话，那我是第几？	……只能从我记得长相的人来算了，第三吧。
讨厌——，是我自己要问的，还是好丢脸喔！没想到『交情好的同学』会老实回答，更让人不好意思了。	我想快点结束，所以放弃挣扎啦。
『交情好的同学』，慢慢玩，晚上很长呢！	是啊，时间过得真是慢得惊人。
这样啊，我是第三可爱的啊——嘿嘿嘿嘿嘿嘿嘿嘿。	好啦，我抽牌了。方块老Q。
好吧，『交情好的同学』，问吧！	喔，真心话还是大冒险？
真心话！	嗯——，说得也是。
OK，决定了。	好紧张喔！
你小时候是什么样的小孩？	……哎，问这种问题就可以了吗？我已经做好了告诉你三围的决心呢。
烦死了，笨蛋。	好过份！
我从小就是个不安分的孩子。	应该是，很容易想像。
这样可以了吗？	可以了。继续玩吧。
持续最久的兴趣是什么？	一定要说的话，我一直都喜欢电影。
最尊敬的名人跟理由？	杉原千亩*7！给犹太人签证的人。贯彻做自己认为正确的事，我觉得真是太厉害了。
自认的长处和短处？	长处是跟大家都处得好；短处太多了搞不清楚，多半是注意力不集中吧。
到现在为止最高兴的事？	嗯，认识你吧！嘿嘿。
胰脏不算，到现在为止最难受的事？	养了好久的狗在中学的时候死掉了……喂，这是面试吗？
不是，是游戏喔！」我回道	问好玩一点的问题啦！
喏，『交情好的同学』，不好意思，这次可以说是问题，也可以说是命令，我可以指定你的回答吗？	终于露出本性了。问题也就罢了，还命令呢！
啊，对了，真心话还是大冒险。	以规则来说是没问题啦。
你的手要干嘛？	我扶你。快点站起来。
我说过了，抱、我——	……………………
那就玩最后一次。这次特别，我帮你抽。要抽哪边的牌？	这样啊——，那就从我放杯子的地方抽吧。
七。	哇——，不删不瞎。
你是说不上不下吧。	嗯，不删不瞎不删不瞎。
是多少——？	……六。
我啊……	……………………
大冒险……	……………………
有这么关心你的闺蜜真好。	就是说！啊，你可能已经听见了，恭子好像要宰了你。
是对你出手才会吧。我是绅士，你可要跟她说清楚啊。	那公主抱呢？
哎？那有名字啊。我只觉得自己成了搬家工人。	不管怎样，被恭子知道了都会宰了你。
新干线是两点半，有足够的时间吃中饭和买土产。中午之前要去哪里吗？	反正我搞不清楚，都随便你。
好开心——，『交情好的同学』当街头艺人吧！	你在跟谁说话啊。那种跟别人扯上关系的职业我没办法的，所以我觉得那个人很厉害。
这样啊，真可惜。那我当吧！啊，忘记了，我马上要死了。	你是为了要说这句话才讲这些的吗？不是还有一年，练习一下，就算不能当街头艺人，应该也可以很厉害的。
啊——，这样我就会成为昙花一现，如彗星般突然消失的传说魔术师了。	要是你是稀世天才的话，有可能。
我的一年有大家五年的价值，一定没问题的。敬请期待。	大家一天的价值不是都一样吗？
好啊，那样也不错。	哎，怎么这么坦率。显然很愉快吧？
对不起。」她小声说	怎么，你打算用暴力抢我的胰脏吗？
不是啦，只是因为你很难得这么坦诚，我有点忘形了。嗯，我也非常愉快喔！谢谢你跟我一起来。下次要去哪呢？我下次想去北方，好好体验一下寒冷。	为仟么一定要虐待自己啊。我讨厌冷。下次要逃去比这次更南边的地方。
哟，『被大家谈论的同学』，那个，你啊，干嘛把校内穿的便鞋丢掉？	……哎？
